time, xAcc, yAcc, zAcc, xAcc_calib, yAcc_calib, zAcc_calib, xAcc_linear, yAcc_linear, zAcc_linear, accMag
5,-0.2155756,-0.9766238,-0.1226799,0,0,0,0,0,0,0.005266989
5.019989,-0.1953123,-0.9580689,-0.1207272,0,0,0,0,0,0,-0.004862108
5.040009,-0.1921382,-0.9631958,-0.1246327,0,0,0,0,0,0,-0.009096241
5.059998,-0.2065433,-0.9829721,-0.1304924,0,0,0,0,0,0,-0.002894155
5.079987,-0.2250981,-0.9846805,-0.1402577,0,0,0,0,0,0,0.003502543
5.100006,-0.2292479,-0.9683227,-0.1514886,0,0,0,0,0,0,0.002313047
5.119995,-0.2248538,-0.9556276,-0.1531971,0,0,0,0,0,0,-0.003348477
5.139984,-0.2248538,-0.9556276,-0.1531971,0,0,0,0,0,0,-0.006739076
5.160004,-0.2172856,-0.9898075,-0.1627195,0,0,0,0,0,0,0.003720878
5.179993,-0.2319335,-0.9822392,-0.1619867,0,0,0,0,0,0,0.008416447
5.199982,-0.2531739,-0.9385385,-0.1539299,0,0,0,0,0,0,-0.003253494
5.220001,-0.2802741,-0.9163209,-0.154907,0,0,0,0,0,0,-0.01541903
5.23999,-0.2893065,-0.9085084,-0.1468503,0,0,0,0,0,0,-0.02489306
5.259979,-0.3151853,-0.9531863,-0.1363522,0,0,0,0,0,0,-0.01196887
5.279999,-0.3349616,-1.011781,-0.160034,0,0,0,0,0,0,0.02049473
5.299988,-0.3146967,-1.043518,-0.2054432,0,0,0,0,0,0,0.05185495
5.320007,-0.3146967,-1.043518,-0.2054432,0,0,0,0,0,0,0.07031959
5.339996,-0.2780771,-1.024964,-0.3135982,0,0,0,0,0,0,0.0801367
5.359985,-0.2780771,-1.024964,-0.3135982,0,0,0,0,0,0,0.08530985
5.380005,-0.2966304,-1.017395,-0.2237538,0,0,0,0,0,0,0.07841902
5.399994,-0.2956548,-0.9612431,-0.08801152,0,0,0,0,0,0,0.04554377
5.419983,-0.2795413,-0.8933719,0.0081797,0,0,0,0,0,0,-0.002656323
5.440002,-0.3071285,-0.868713,0.02258325,0,0,0,0,0,0,-0.03725459
5.459991,-0.3435054,-0.8850709,-0.04943763,0,0,0,0,0,0,-0.046797
5.47998,-0.3854977,-0.9175423,-0.1072992,0,0,0,0,0,0,-0.03299801
5.5,-0.4306642,-0.9473265,-0.1539299,0,0,0,0,0,0,-0.004983856
5.519989,-0.4306642,-0.9473265,-0.1539299,0,0,0,0,0,0,0.01199801
5.540009,-0.4902343,-0.93512,-0.2943105,0,0,0,0,0,0,0.03892104
5.559998,-0.4902343,-0.93512,-0.2943105,0,0,0,0,0,0,0.05482623
5.579987,-0.5219728,-0.9063113,-0.3936759,0,0,0,0,0,0,0.07206371
5.600006,-0.5598139,-0.8657847,-0.4009998,0,0,0,0,0,0,0.07751667
5.619995,-0.5598139,-0.8657847,-0.4009998,0,0,0,0,0,0,0.0800766
5.639984,-0.5263669,-0.8735972,-0.1060778,0,0,0,0,0,0,0.05015041
5.660004,-0.5263669,-0.8735972,-0.1060778,0,0,0,0,0,0,0.03158357
5.679993,-0.5385749,-0.8753057,-0.1251212,0,0,0,0,0,0,0.02382004
5.699982,-0.5441889,-0.8433228,-0.1898182,0,0,0,0,0,0,0.01363286
5.720001,-0.5031736,-0.7996221,-0.2427972,0,0,0,0,0,0,-0.01013065
5.73999,-0.39917,-0.7334594,-0.2344961,0,0,0,0,0,0,-0.06548455
5.759979,-0.3786624,-0.7075806,-0.2110587,0,0,0,0,0,0,-0.1125835
5.779999,-0.3786624,-0.7075806,-0.2110587,0,0,0,0,0,0,-0.1399852
5.799988,-0.3815922,-0.6900029,-0.1685777,0,0,0,0,0,0,-0.1641537
5.820007,-0.3859863,-0.6824347,-0.1529528,0,0,0,0,0,0,-0.180054
5.839996,-0.3947759,-0.6550902,-0.1632066,0,0,0,0,0,0,-0.1943178
5.859985,-0.4003914,-0.6235959,-0.1815171,0,0,0,0,0,0,-0.2083482
5.880005,-0.3781738,-0.6375124,-0.1976307,0,0,0,0,0,0,-0.2132704
5.899994,-0.361816,-0.6939099,-0.2159413,0,0,0,0,0,0,-0.1972391
5.919983,-0.3757325,-0.7639781,-0.2288807,0,0,0,0,0,0,-0.1591571
5.940002,-0.4924313,-0.795715,-0.2691646,0,0,0,0,0,0,-0.09962589
5.959991,-0.4924313,-0.795715,-0.2691646,0,0,0,0,0,0,-0.06269284
5.97998,-0.5136718,-0.7908324,-0.2401116,0,0,0,0,0,0,-0.0400001
6,-0.4526376,-0.8335576,-0.2135,0,0,0,0,0,0,-0.02622405
6.019989,-0.3549806,-0.8796997,-0.2772213,0,0,0,0,0,0,-0.01155098
6.040009,-0.303223,-0.8880008,-0.3902574,0,0,0,0,0,0,0.008055026
6.059998,-0.3293461,-0.9153453,-0.394653,0,0,0,0,0,0,0.0325738
6.079987,-0.4145507,-1.098207,-0.2857651,0,0,0,0,0,0,0.107251
6.100006,-0.4184577,-1.600892,-0.1846913,0,0,0,0,0,0,0.3249685
6.119995,-0.4301757,-2.107484,-0.2264394,0,0,0,0,0,0,0.6426827
6.139984,-0.6479499,-0.4465942,-0.2598864,0,0,0,0,0,0,0.3216867
6.160004,-0.6479499,-0.4465942,-0.2598864,0,0,0,0,0,0,0.1245885
6.179993,-0.6679689,-0.4529425,-0.08386176,0,0,0,0,0,0,-0.002333367
6.199982,-0.3845221,-0.7666636,0.1744391,0,0,0,0,0,0,-0.05477368
6.220001,-0.1582026,-0.8059704,0.2225354,0,0,0,0,0,0,-0.09518179
6.23999,-0.1445319,-0.8513796,0.1790774,0,0,0,0,0,0,-0.1069358
6.259979,-0.08642599,-1.077942,0.02136338,0,0,0,0,0,0,-0.03714716
6.279999,-0.141602,-1.069398,0.134888,0,0,0,0,0,0,0.007490951
6.299988,-0.2160642,-0.9805308,0.3096927,0,0,0,0,0,0,0.02057048
6.320007,-0.1916511,-0.9671028,0.2269295,0,0,0,0,0,0,0.01344601
6.339996,-0.2006835,-0.9741825,0.128297,0,0,0,0,0,0,0.005663493
6.359985,-0.1674808,-0.9683227,0.05383322,0,0,0,0,0,0,-0.006202915
6.380005,-0.1462403,-0.9492809,0.03723265,0,0,0,0,0,0,-0.02204677
6.399994,-0.09790122,-0.9263304,0.02380469,0,0,0,0,0,0,-0.04258962
6.419983,-0.1359865,-0.9653928,0.06677262,0,0,0,0,0,0,-0.03734592
6.440002,-0.1359865,-0.9653928,0.06677262,0,0,0,0,0,0,-0.03382131
6.459991,-0.2172856,-0.972474,0.06311143,0,0,0,0,0,0,-0.02329727
6.47998,-0.2668462,-0.9414684,0.05212478,0,0,0,0,0,0,-0.02374704
6.5,-0.2768557,-0.8665161,0.07775927,0,0,0,0,0,0,-0.04923622
6.519989,-0.3005374,-0.8447886,0.1051038,0,0,0,0,0,0,-0.06805005
6.540009,-0.3005374,-0.8447886,0.1051038,0,0,0,0,0,0,-0.07877654
6.559998,-0.3081056,-0.8547981,0.1343995,0,0,0,0,0,0,-0.07853795
6.579987,-0.3151853,-0.8933719,0.1676037,0,0,0,0,0,0,-0.06110358
6.600006,-0.2282723,-0.9214478,0.1185317,0,0,0,0,0,0,-0.05202834
6.619995,-0.1835943,-0.9270632,0.1124277,0,0,0,0,0,0,-0.04792598
6.639984,-0.1835943,-0.9270632,0.1124277,0,0,0,0,0,0,-0.04499081
6.660004,-0.1853028,-0.9719855,0.126587,0,0,0,0,0,0,-0.02537601
6.679993,-0.2043462,-1.043031,0.1546643,0,0,0,0,0,0,0.01579152
6.699982,-0.2534182,-1.157533,0.2069105,0,0,0,0,0,0,0.0894803
6.720001,-0.2741701,-1.161438,0.1519787,0,0,0,0,0,0,0.133221
6.73999,-0.2741701,-1.161438,0.1519787,0,0,0,0,0,0,0.1583966
6.759979,-0.3227535,-1.137025,-0.1422119,0,0,0,0,0,0,0.1673499
6.779999,-0.3774409,-1.167786,-0.03039419,0,0,0,0,0,0,0.1852984
6.799988,-0.8073739,-1.209046,-0.004026833,0,0,0,0,0,0,0.2803436
6.820007,-0.9238284,-0.9470823,-0.1004639,0,0,0,0,0,0,0.2868756
6.839996,-0.6096187,-0.7959593,-0.2462157,0,0,0,0,0,0,0.1762023
6.859985,-0.2758785,-1.014466,-0.4307856,0,0,0,0,0,0,0.1470574
6.880005,-0.2294922,-1.380921,-0.1561269,0,0,0,0,0,0,0.2315519
6.899994,-0.2429201,-1.602845,0.3780524,0,0,0,0,0,0,0.3777493
6.919983,-0.2429201,-1.602845,0.3780524,0,0,0,0,0,0,0.4625371
