time, xAcc, yAcc, zAcc, xAcc_calib, yAcc_calib, zAcc_calib, xAcc_linear, yAcc_linear, zAcc_linear, accMag
0,-0.1076664,-1.005188,-0.1024166,0,0,0,0,0,0,-0.001113744
0.02000427,-0.1137689,-0.9949344,-0.1029052,0,0,0,0,0,0,-0.001453546
0.04000092,-0.1137689,-0.9949344,-0.1029052,0,0,0,0,0,0,-0.001645153
0.06000519,-0.09155289,-0.999817,-0.1234128,0,0,0,0,0,0,0.000103433
0.08000183,-0.08544885,-1.008851,-0.1009509,0,0,0,0,0,0,0.003411764
0.09999847,-0.07910207,-1.006654,-0.1004639,0,0,0,0,0,0,0.004337553
0.1200027,-0.08471754,-1.004213,-0.1080321,0,0,0,0,0,0,0.004404232
0.1399994,-0.08911158,-0.9971314,-0.1029052,0,0,0,0,0,0,0.001676821
0.1600037,-0.08471754,-0.999817,-0.1148674,0,0,0,0,0,0,0.001369863
0.1800003,-0.07592791,-0.9946901,-0.1068107,0,0,0,0,0,0,-0.001362435
0.2000046,-0.07592791,-0.9946901,-0.1068107,0,0,0,0,0,0,-0.003001194
0.2200012,-0.08178766,-0.992493,-0.1070549,0,0,0,0,0,0,-0.004605756
0.2400055,-0.08154338,-0.9976199,-0.1177973,0,0,0,0,0,0,-0.003153232
0.2600021,-0.09765694,-0.9971314,-0.1226799,0,0,0,0,0,0,-0.001663682
0.2799988,-0.09570264,-0.9956672,-0.113646,0,0,0,0,0,0,-0.001771043
0.3000031,-0.09570264,-0.9956672,-0.113646,0,0,0,0,0,0,-0.001819125
0.3199997,-0.1032724,-0.9995727,-0.1016838,0,0,0,0,0,0,-0.000564195
0.340004,-0.1003425,-0.9988414,-0.1063221,0,0,0,0,0,0,-5.93E-06
0.3600006,-0.08764742,-0.9973757,-0.1070549,0,0,0,0,0,0,-0.000640091
0.3800049,-0.07812493,-0.9946901,-0.1107177,0,0,0,0,0,0,-0.002175996
0.4000015,-0.07104529,-1.001283,-0.1158446,0,0,0,0,0,0,-0.000581472
0.4199982,-0.07104529,-1.001283,-0.1158446,0,0,0,0,0,0,0.000387927
0.4400024,-0.1030281,-1.009827,-0.1104734,0,0,0,0,0,0,0.004998279
0.4599991,-0.110352,-1.006898,-0.127074,0,0,0,0,0,0,0.007663404
0.4800034,-0.110352,-1.006898,-0.127074,0,0,0,0,0,0,0.009201672
0.5,-0.1396493,-0.9624645,-0.1029052,0,0,0,0,0,0,-0.006255919
0.5200043,-0.1516115,-0.9458624,-0.1107177,0,0,0,0,0,0,-0.02073093
0.5400009,-0.08935587,-1.019349,-0.1204829,0,0,0,0,0,0,-0.004199111
0.5600052,-0.0964355,-1.02301,-0.1424547,0,0,0,0,0,0,0.008511923
0.5800018,-0.0964355,-1.02301,-0.1424547,0,0,0,0,0,0,0.01611485
0.5999985,-0.07055672,-0.9778452,-0.135375,0,0,0,0,0,0,0.002438078
0.6200027,-0.05419887,-0.9353643,-0.1187745,0,0,0,0,0,0,-0.02305077
0.6399994,-0.09350562,-1.009095,-0.1170645,0,0,0,0,0,0,-0.009464178
0.6600037,-0.1193844,-1.025696,-0.1614981,0,0,0,0,0,0,0.008344801
0.6800003,-0.1157232,-1.012268,-0.1456288,0,0,0,0,0,0,0.01296747
0.7000046,-0.1157232,-1.012268,-0.1456288,0,0,0,0,0,0,0.01563869
0.7200012,-0.09497134,-0.9761352,-0.1380606,0,0,0,0,0,0,0.002360138
0.7400055,-0.1071779,-1.02008,-0.1663807,0,0,0,0,0,0,0.01281227
0.7600021,-0.1196287,-1.039368,-0.1529528,0,0,0,0,0,0,0.02594342
0.7799988,-0.1196287,-1.039368,-0.1529528,0,0,0,0,0,0,0.03363473
0.8000031,-0.09985396,-0.9949344,-0.1522215,0,0,0,0,0,0,0.02052316
0.8199997,-0.09667978,-0.9871219,-0.151,0,0,0,0,0,0,0.009294144
0.840004,-0.09228574,-0.9890746,-0.1478259,0,0,0,0,0,0,0.002811603
0.8600006,-0.09301705,-0.9978642,-0.1475816,0,0,0,0,0,0,0.002167922
0.8800049,-0.09301705,-1.013245,-0.1402577,0,0,0,0,0,0,0.007127095
0.9000015,-0.09301705,-1.013245,-0.1402577,0,0,0,0,0,0,0.01005719
0.9199982,-0.09033146,-0.9956672,-0.1439204,0,0,0,0,0,0,0.005248333
0.9400024,-0.08813444,-0.9898075,-0.1368408,0,0,0,0,0,0,-0.000353779
0.9599991,-0.08813444,-0.9898075,-0.1368408,0,0,0,0,0,0,-0.003736896
0.9800034,-0.08544885,-0.981995,-0.1485587,0,0,0,0,0,0,-0.008126608
1,-0.1101077,-1.019837,-0.1383049,0,0,0,0,0,0,0.003816202
1.020004,-0.102051,-0.9761352,-0.1612538,0,0,0,0,0,0,-0.004364808
1.040001,-0.09374991,-0.9846805,-0.1678464,0,0,0,0,0,0,-0.005978302
1.060005,-0.102051,-1.023499,-0.1302481,0,0,0,0,0,0,0.005838653
1.080002,-0.102051,-1.023499,-0.1302481,0,0,0,0,0,0,0.01292653
1.099998,-0.1271969,-0.9856577,-0.1575926,0,0,0,0,0,0,0.005483335
1.120003,-0.110352,-0.9888303,-0.1605225,0,0,0,0,0,0,0.001534641
1.139999,-0.1108406,-0.9895632,-0.1649166,0,0,0,0,0,0,-0.000304044
1.160004,-0.1066893,-0.9768681,-0.1497802,0,0,0,0,0,0,-0.007222732
1.18,-0.1066893,-0.9768681,-0.1497802,0,0,0,0,0,0,-0.01133647
1.200005,-0.09106431,-0.9505007,-0.1739489,0,0,0,0,0,0,-0.02262954
1.220001,-0.1003425,-0.9985971,-0.1490473,0,0,0,0,0,0,-0.01249665
1.240005,-0.1049808,-1.008851,-0.1624753,0,0,0,0,0,0,-0.001466104
1.260002,-0.1049808,-1.008851,-0.1624753,0,0,0,0,0,0,0.005215784
1.279999,-0.1203616,-1.045716,-0.1580797,0,0,0,0,0,0,0.02333958
1.300003,-0.09204146,-0.9805308,-0.1724848,0,0,0,0,0,0,0.009528561
1.32,-0.07714933,-0.9761352,-0.1634509,0,0,0,0,0,0,-0.001610247
1.340004,-0.0810548,-0.9907846,-0.1409905,0,0,0,0,0,0,-0.004028529
1.360001,-0.0810548,-0.9907846,-0.1409905,0,0,0,0,0,0,-0.005452123
1.380005,-0.08789015,-0.9990857,-0.1431875,0,0,0,0,0,0,-0.002814027
1.400002,-0.08740313,-0.9878547,-0.1590568,0,0,0,0,0,0,-0.004508376
1.419998,-0.08154338,-0.9124154,-0.1514886,0,0,0,0,0,0,-0.03432973
1.440002,-0.1430662,-1.013245,-0.1431875,0,0,0,0,0,0,-0.01221751
1.459999,-0.1430662,-1.013245,-0.1431875,0,0,0,0,0,0,0.001265393
1.480003,-0.1401363,-1.015442,-0.1707763,0,0,0,0,0,0,0.01165706
1.5,-0.1181645,-0.9517221,-0.1463617,0,0,0,0,0,0,-0.008414977
1.520004,-0.1181645,-0.9517221,-0.1463617,0,0,0,0,0,0,-0.02046857
1.540001,-0.1162118,-0.9666142,-0.1297596,0,0,0,0,0,0,-0.02298139
1.560005,-0.1115719,-1.000061,-0.1326894,0,0,0,0,0,0,-0.011821
1.580002,-0.1115719,-1.000061,-0.1326894,0,0,0,0,0,0,-0.004962253
1.599998,-0.1044923,-1.033753,-0.1329337,0,0,0,0,0,0,0.01158595
1.620003,-0.1049808,-1.029359,-0.1317139,0,0,0,0,0,0,0.01979137
1.639999,-0.08789015,-1.009582,-0.1334223,0,0,0,0,0,0,0.01662086
1.660004,-0.06225565,-0.9895632,-0.1556384,0,0,0,0,0,0,0.007521909
1.68,-0.06225565,-0.9895632,-0.1556384,0,0,0,0,0,0,0.001950142
1.700005,-0.07275373,-0.9934702,-0.1654051,0,0,0,0,0,0,0.000885015
1.720001,-0.09179717,-1.029847,-0.1439204,0,0,0,0,0,0,0.01320177
1.740005,-0.08227623,-1.021546,-0.1429432,0,0,0,0,0,0,0.01705461
1.760002,-0.08227623,-1.021546,-0.1429432,0,0,0,0,0,0,0.01922163
1.779999,-0.07177815,-0.9956672,-0.1541742,0,0,0,0,0,0,0.01096757
1.800003,-0.07031243,-1.004455,-0.1563712,0,0,0,0,0,0,0.009254403
1.82,-0.05224614,-1.005677,-0.148803,0,0,0,0,0,0,0.007744952
1.840004,-0.05126899,-1.018372,-0.1461174,0,0,0,0,0,0,0.01136079
1.860001,-0.05126899,-1.018372,-0.1461174,0,0,0,0,0,0,0.01343862
1.880005,-0.05322329,-1.014711,-0.1507557,0,0,0,0,0,0,0.01348418
1.900002,-0.03417985,-0.9783322,-0.1529528,0,0,0,0,0,0,-0.000456773
1.919998,-0.04174805,-1.00348,-0.144896,0,0,0,0,0,0,0.000217406
1.940002,-0.04687496,-1.010804,-0.1456288,0,0,0,0,0,0,0.003499324
1.959999,-0.04174805,-0.9883433,-0.1436761,0,0,0,0,0,0,-0.003180362
1.980003,-0.04174805,-0.9883433,-0.1436761,0,0,0,0,0,0,-0.007188042
2,-0.0605472,-0.9939572,-0.133178,0,0,0,0,0,0,-0.007618946
2.020004,-0.0605472,-0.9939572,-0.133178,0,0,0,0,0,0,-0.007807059
2.040001,-0.05468745,-0.999817,-0.1446532,0,0,0,0,0,0,-0.00517129
2.060005,-0.07324231,-1.033264,-0.1458731,0,0,0,0,0,0,0.009532164
2.080002,-0.08740313,-1.052063,-0.1446532,0,0,0,0,0,0,0.02573016
2.099998,-0.06323279,-0.9900517,-0.1358636,0,0,0,0,0,0,0.01087277
2.120003,-0.06323279,-0.9900517,-0.1358636,0,0,0,0,0,0,0.001788155
2.139999,-0.06103578,-0.9934702,-0.1322009,0,0,0,0,0,0,-0.002673447
2.160004,-0.04711924,-0.9907846,-0.1280511,0,0,0,0,0,0,-0.006845647
2.18,-0.04980483,-0.9976199,-0.135375,0,0,0,0,0,0,-0.006316437
2.200005,-0.05835018,-1.003235,-0.1365965,0,0,0,0,0,0,-0.003589038
2.220001,-0.0478521,-0.9915159,-0.1358636,0,0,0,0,0,0,-0.006560323
2.240005,-0.03613258,-0.9839477,-0.1387935,0,0,0,0,0,0,-0.01117428
2.260002,-0.02172903,-0.9675914,-0.1407462,0,0,0,0,0,0,-0.02006245
