time, xAcc, yAcc, zAcc, xAcc_calib, yAcc_calib, zAcc_calib, xAcc_linear, yAcc_linear, zAcc_linear, accMag
0,-0.2861323,-0.9512336,-0.1146232,0,0,0,0,0,0,-0.00620188
0.02001953,-0.3110355,-0.9541634,-0.1129147,0,0,0,0,0,0,-0.003000964
0.04000854,-0.3073728,-0.939514,-0.1036365,0,0,0,0,0,0,-0.007108752
0.05999756,-0.3073728,-0.939514,-0.1036365,0,0,0,0,0,0,-0.009524393
0.08001709,-0.3046872,-0.9255991,-0.1053465,0,0,0,0,0,0,-0.01613763
0.1000061,-0.3178709,-0.9402469,-0.1168202,0,0,0,0,0,0,-0.01267053
0.1200256,-0.316651,-0.9526978,-0.1134033,0,0,0,0,0,0,-0.006292984
0.1400146,-0.3090828,-0.954652,-0.1143789,0,0,0,0,0,0,-0.002525813
0.1600037,-0.3098141,-0.9463509,-0.1236571,0,0,0,0,0,0,-0.002700712
0.1800232,-0.3078614,-0.9465953,-0.1177973,0,0,0,0,0,0,-0.003189756
0.2000122,-0.3041986,-0.9541634,-0.1156003,0,0,0,0,0,0,-0.001256752
0.2200012,-0.2954105,-0.9451295,-0.1087634,0,0,0,0,0,0,-0.004619227
0.2400208,-0.2951663,-0.9465953,-0.1112047,0,0,0,0,0,0,-0.006004696
0.2600098,-0.3020016,-0.9531863,-0.1143789,0,0,0,0,0,0,-0.003501306
0.2799988,-0.3020016,-0.9531863,-0.1143789,0,0,0,0,0,0,-0.001954776
0.3000183,-0.3122554,-0.9509893,-0.1124261,0,0,0,0,0,0,-0.000685807
0.3200073,-0.3076171,-0.952942,-0.1246327,0,0,0,0,0,0,0.000791953
0.3399963,-0.2985847,-0.9680784,-0.113646,0,0,0,0,0,0,0.005608634
0.3600159,-0.2956548,-0.972474,-0.1116933,0,0,0,0,0,0,0.009648463
0.3800049,-0.2897951,-0.952942,-0.1195058,0,0,0,0,0,0,0.004639505
0.4000244,-0.2846682,-0.9334115,-0.1099848,0,0,0,0,0,0,-0.00646649
0.4200134,-0.2968747,-0.9419554,-0.110962,0,0,0,0,0,0,-0.00863041
0.4400024,-0.3071285,-0.9478151,-0.1138903,0,0,0,0,0,0,-0.006445019
0.460022,-0.3029788,-0.9526978,-0.1209715,0,0,0,0,0,0,-0.003472476
0.480011,-0.3029788,-0.9526978,-0.1209715,0,0,0,0,0,0,-0.001642591
0.5,-0.2888179,-0.939027,-0.111449,0,0,0,0,0,0,-0.007462038
0.5200195,-0.2888179,-0.939027,-0.111449,0,0,0,0,0,0,-0.01090901
0.5400085,-0.2910165,-0.9292603,-0.1024166,0,0,0,0,0,0,-0.01653947
0.5599976,-0.3063972,-0.9338986,-0.1058335,0,0,0,0,0,0,-0.01620511
0.5800171,-0.2907722,-0.9566048,-0.1097405,0,0,0,0,0,0,-0.00928745
0.6000061,-0.3041986,-0.9595346,-0.111449,0,0,0,0,0,0,-0.002385669
0.6200256,-0.3107913,-0.9558719,-0.1124261,0,0,0,0,0,0,0.001294259
0.6400146,-0.298829,-0.9570934,-0.1087634,0,0,0,0,0,0,0.002421717
0.6600037,-0.2795413,-0.9600217,-0.1121818,0,0,0,0,0,0,0.002177515
0.6800232,-0.2795413,-0.9600217,-0.1121818,0,0,0,0,0,0,0.002009213
0.7000122,-0.2958991,-0.9500121,-0.1156003,0,0,0,0,0,0,0.00019893
0.7200012,-0.2958991,-0.9500121,-0.1156003,0,0,0,0,0,0,-0.000897307
0.7400208,-0.2941891,-0.9490365,-0.1048579,0,0,0,0,0,0,-0.002544776
0.7600098,-0.3237306,-0.9321901,-0.08923294,0,0,0,0,0,0,-0.006661705
0.7799988,-0.3237306,-0.9321901,-0.08923294,0,0,0,0,0,0,-0.00908709
0.8000183,-0.2890622,-0.9375613,-0.1185302,0,0,0,0,0,0,-0.01144903
0.8200073,-0.2932135,-0.9434211,-0.129271,0,0,0,0,0,0,-0.00968516
0.8399963,-0.3012703,-0.9561162,-0.1351307,0,0,0,0,0,0,-0.002763436
0.8600159,-0.3039559,-0.9563605,-0.1207272,0,0,0,0,0,0,0.001147742
0.8800049,-0.3059086,-0.9590461,-0.1129147,0,0,0,0,0,0,0.004347929
0.9000244,-0.2897951,-0.9600217,-0.1275626,0,0,0,0,0,0,0.00545174
0.9200134,-0.2985847,-0.948548,-0.1285397,0,0,0,0,0,0,0.002957796
0.9400024,-0.2985847,-0.948548,-0.1285397,0,0,0,0,0,0,0.001422106
0.960022,-0.2985847,-0.948548,-0.1285397,0,0,0,0,0,0,0.000480262
0.980011,-0.3068842,-0.9473265,-0.1322009,0,0,0,0,0,0,0.000600001
1,-0.3103027,-0.9636844,-0.1273183,0,0,0,0,0,0,0.006691149
1.02002,-0.312744,-0.9561162,-0.1241441,0,0,0,0,0,0,0.007730255
1.040009,-0.3154296,-0.9431768,-0.1260984,0,0,0,0,0,0,0.004062938
1.059998,-0.3068842,-0.9409798,-0.1236571,0,0,0,0,0,0,-0.000105362
1.080017,-0.287598,-0.9492809,-0.1190172,0,0,0,0,0,0,-0.002034087
1.100006,-0.3017573,-0.948548,-0.1243884,0,0,0,0,0,0,-0.001612749
1.120026,-0.3017573,-0.948548,-0.1243884,0,0,0,0,0,0,-0.001342731
1.140015,-0.3029788,-0.9453738,-0.1180416,0,0,0,0,0,0,-0.002459086
1.160004,-0.2990717,-0.9519664,-0.115356,0,0,0,0,0,0,-0.001303798
1.180023,-0.3046872,-0.9524534,-0.1197501,0,0,0,0,0,0,0.000417722
1.200012,-0.2966304,-0.9385385,-0.1319566,0,0,0,0,0,0,-0.003881118
1.220001,-0.2966304,-0.9385385,-0.1319566,0,0,0,0,0,0,-0.006442889
1.240021,-0.3015146,-0.941224,-0.1300039,0,0,0,0,0,0,-0.006506088
1.26001,-0.3041986,-0.9483037,-0.1199943,0,0,0,0,0,0,-0.004107296
1.279999,-0.2746587,-0.9458624,-0.1239014,0,0,0,0,0,0,-0.006572994
1.300018,-0.3151853,-0.9692999,-0.1400134,0,0,0,0,0,0,0.005729328
1.320007,-0.3151853,-0.9692999,-0.1400134,0,0,0,0,0,0,0.01311165
1.339996,-0.299316,-0.9710083,-0.1112047,0,0,0,0,0,0,0.01491623
1.360016,-0.3168953,-0.9429325,-0.1053465,0,0,0,0,0,0,0.007566089
1.380005,-0.3168953,-0.9429325,-0.1053465,0,0,0,0,0,0,0.003051042
1.400024,-0.3044429,-0.9407355,-0.1075435,0,0,0,0,0,0,-0.001880287
1.420013,-0.3039559,-0.9692999,-0.1058335,0,0,0,0,0,0,0.005316177
1.440002,-0.3154296,-0.9597789,-0.113159,0,0,0,0,0,0,0.007815473
1.460022,-0.312744,-0.9448853,-0.1185302,0,0,0,0,0,0,0.003829479
1.480011,-0.3161624,-0.9348757,-0.113646,0,0,0,0,0,0,-0.002005553
1.5,-0.3225092,-0.9649058,-0.1224357,0,0,0,0,0,0,0.006382416
1.52002,-0.3225092,-0.9649058,-0.1224357,0,0,0,0,0,0,0.01139229
1.540009,-0.3159181,-0.9653928,-0.1356193,0,0,0,0,0,0,0.01433742
1.559998,-0.3115241,-0.9497678,-0.1263427,0,0,0,0,0,0,0.009416305
1.580017,-0.3124997,-0.9312146,-0.1326894,0,0,0,0,0,0,0.000145294
1.600006,-0.3041986,-0.9607545,-0.1055908,0,0,0,0,0,0,0.002940238
1.620026,-0.3041986,-0.9607545,-0.1055908,0,0,0,0,0,0,0.004601847
