time, xAcc, yAcc, zAcc, xAcc_calib, yAcc_calib, zAcc_calib, xAcc_linear, yAcc_linear, zAcc_linear, accMag
2,0.07983337,-0.866029,-0.483276,0.1745446,-0.951296,-0.2834905,-0.09471127,0.08526695,-0.1997855,-0.0156553
2.02,0.09716836,-0.8577279,-0.4837646,0.1729971,-0.9494246,-0.287496,-0.07582878,0.09169668,-0.1962686,-0.01611515
2.039999,0.09716836,-0.8577279,-0.4837646,0.1714806,-0.9475907,-0.2914214,-0.07431221,0.08986276,-0.1923432,-0.01351353
2.059999,0.09838823,-0.8389288,-0.4835203,0.1700187,-0.9454175,-0.2952634,-0.07163049,0.1064886,-0.1882569,-0.02239859
2.08,0.08764587,-0.8045047,-0.4893785,0.1683713,-0.9425992,-0.2991457,-0.08072539,0.1380945,-0.1902328,-0.03973483
2.1,0.1142575,-0.7954723,-0.4893785,0.167289,-0.9396567,-0.3029503,-0.05303148,0.1441844,-0.1864282,-0.03704324
2.119999,0.1474602,-0.789124,-0.4996323,0.1668924,-0.9366461,-0.306884,-0.0194322,0.1475222,-0.1927483,-0.03026712
2.139999,0.1474602,-0.789124,-0.4996323,0.1665038,-0.9336957,-0.3107389,-0.01904356,0.1445717,-0.1888934,-0.02588469
2.16,0.1816401,-0.8381959,-0.5133045,0.1668065,-0.9317857,-0.3147902,0.01483355,0.09358978,-0.1985143,0.01349515
2.18,0.1691892,-0.9155896,-0.5303953,0.1668542,-0.9314618,-0.3191023,0.002335086,0.01587224,-0.2112929,0.06128046
2.199999,0.1652838,-0.9929816,-0.5714105,0.1668227,-0.9326922,-0.3241485,-0.001538977,-0.06028938,-0.247262,0.110114
2.219999,0.1652838,-0.9929816,-0.5714105,0.166792,-0.933898,-0.3290938,-0.001508206,-0.05908358,-0.2423167,0.09986499
2.24,0.1564941,-0.992493,-0.6153556,0.166586,-0.93507,-0.334819,-0.0100919,-0.05742306,-0.2805366,0.09875253
2.26,0.1201173,-0.9429325,-0.6026604,0.1656567,-0.9352273,-0.3401758,-0.04553939,-0.007705212,-0.2624846,0.05336493
2.279999,0.08789015,-0.9104611,-0.611937,0.1641013,-0.934732,-0.3456111,-0.07621118,0.02427083,-0.266326,0.02798994
2.299999,0.1196287,-0.9177866,-0.6529538,0.1632119,-0.934393,-0.3517579,-0.04358319,0.01660645,-0.3011959,0.04282748
2.32,0.1542971,-1.176332,-0.571899,0.1630336,-0.9392318,-0.3561607,-0.008736476,-0.2370998,-0.2157383,0.1788201
2.34,0.1791988,-1.586487,-0.2769771,0.1633569,-0.9521769,-0.3545771,0.01584186,-0.6343098,0.0776,0.3463227
2.359999,0.2797856,-1.404847,-0.05578596,0.1656855,-0.9612303,-0.3486013,0.1141001,-0.4436163,0.2928153,0.1637876
2.379999,0.3056644,-0.8523568,-0.0294186,0.1684851,-0.9590529,-0.3422176,0.1371793,0.1066961,0.312799,-0.1942315
2.4,0.2097159,-0.6104138,-0.06872535,0.1693097,-0.9520801,-0.3367478,0.04040618,0.3416663,0.2680224,-0.3224105
2.42,0.04907198,-0.6941527,-0.05603024,0.1669049,-0.9469215,-0.3311334,-0.117833,0.2527689,0.2751032,-0.2570812
2.439999,0.04907198,-0.6941527,-0.05603024,0.1645483,-0.9418662,-0.3256314,-0.1154763,0.2477135,0.2696011,-0.2288513
2.459999,0.06201136,-1.103334,0.02746587,0.1624975,-0.9450955,-0.3185695,-0.1004862,-0.1582382,0.3460353,0.02649525
2.48,0.06201136,-1.103334,0.02746587,0.1604878,-0.9482603,-0.3116488,-0.09847645,-0.1550734,0.3391146,0.02593073
2.5,0.08960015,-1.028137,0.01135387,0.1590701,-0.9498578,-0.3051887,-0.06946991,-0.07827926,0.3165426,-0.01452115
2.519999,0.15332,-0.9885876,-0.01599064,0.1589551,-0.9506325,-0.2994048,-0.005635098,-0.03795511,0.2834141,-0.02393349
2.539999,0.15332,-0.9885876,-0.01599064,0.1588424,-0.9513916,-0.2937365,-0.0055224,-0.03719598,0.2777458,-0.02022334
2.559999,0.1916496,-0.9732053,-0.05895857,0.1594985,-0.9518279,-0.2890409,0.03215106,-0.02137744,0.2300824,-0.01458469
2.58,0.1213371,-0.9363415,-0.08654735,0.1587353,-0.9515182,-0.2849911,-0.03739815,0.01517671,0.1984437,-0.03669019
2.6,0.06787112,-0.8855594,-0.1090077,0.156918,-0.950199,-0.2814714,-0.08904688,0.06463957,0.1724637,-0.0641432
2.619999,0.02783152,-0.8692016,-0.1273183,0.1543363,-0.9485791,-0.2783884,-0.1265047,0.07937747,0.1510701,-0.06713352
2.639999,0.02148474,-0.8989874,-0.1317139,0.1516792,-0.9475873,-0.2754549,-0.1301945,0.04859984,0.143741,-0.04099765
2.66,0.02246033,-0.9519664,-0.1336666,0.1490949,-0.9476749,-0.2726191,-0.1266346,-0.004291534,0.1389525,-0.003278442
2.68,0.03393556,-0.968567,-0.1373278,0.1467917,-0.9480928,-0.2699133,-0.1128561,-0.02047426,0.1325855,0.009838199
