time, xAcc, yAcc, zAcc, xAcc_calib, yAcc_calib, zAcc_calib, xAcc_linear, yAcc_linear, zAcc_linear, accMag
5,0.03271413,-1.002503,-0.1256098,0,0,0,0,0,0,-0.002194854
5.020004,0.02685593,-1.0047,-0.08605878,0,0,0,0,0,0,-0.003849068
5.040009,0.01415927,-0.9983528,-0.08288462,0,0,0,0,0,0,-0.007414942
5.060013,-0.000244286,-0.9966428,-0.08874437,0,0,0,0,0,0,-0.009994612
5.080002,-0.006835348,-1.004213,-0.09313841,0,0,0,0,0,0,-0.008434456
5.100006,0.004882613,-1.014222,-0.08337319,0,0,0,0,0,0,-0.003949787
5.12001,0.004882613,-1.014222,-0.08337319,0,0,0,0,0,0,-0.001201274
5.140015,0.01806629,-0.9988414,-0.07018951,0,0,0,0,0,0,-0.005679585
5.160004,0.03246985,-1.005432,-0.05895857,0,0,0,0,0,0,-0.005970914
5.180008,0.04443365,-1.015198,-0.05383167,0,0,0,0,0,0,-0.00232391
5.200012,0.05273471,-1.014711,-0.05603024,0,0,0,0,0,0,-8.61E-05
5.220001,0.06176708,-1.019105,-0.07629356,0,0,0,0,0,0,0.003622541
5.240005,0.06176708,-1.019105,-0.07629356,0,0,0,0,0,0,0.005829984
5.26001,0.05322173,-1.009582,-0.09313841,0,0,0,0,0,0,0.003857667
5.280014,0.03417985,-0.9929816,-0.09997532,0,0,0,0,0,0,-0.003709006
5.300003,0.01098666,-0.9961558,-0.09387127,0,0,0,0,0,0,-0.007471748
5.320007,-0.003662738,-1.015442,-0.08776723,0,0,0,0,0,0,-0.00260533
5.340012,-0.01757772,-1.019837,-0.08776723,0,0,0,0,0,0,0.002080095
5.360001,-0.02929723,-1.008118,-0.09509271,0,0,0,0,0,0,0.000810934
5.380005,-0.03149426,-0.9983528,-0.1019281,0,0,0,0,0,0,-0.003376401
5.400009,-0.02392605,-0.9961558,-0.1031479,0,0,0,0,0,0,-0.006737793
5.420013,0.00732392,-1.021302,-0.09411556,0,0,0,0,0,0,0.000371547
5.440002,0.00732392,-1.021302,-0.09411556,0,0,0,0,0,0,0.004665591
5.460007,0.01733343,-1.019349,-0.09387127,0,0,0,0,0,0,0.00651536
5.480011,0.009276654,-1.00348,-0.1060778,0,0,0,0,0,0,0.00198741
5.5,-0.009765226,-1.001283,-0.1197501,0,0,0,0,0,0,-0.001014935
5.520004,-0.01733343,-1.042786,-0.1180416,0,0,0,0,0,0,0.0128069
5.540009,-0.03466842,-1.044739,-0.115356,0,0,0,0,0,0,0.02182739
5.560013,-0.03466842,-1.044739,-0.115356,0,0,0,0,0,0,0.02707292
5.580002,-0.1264656,-0.9907846,-0.07165523,0,0,0,0,0,0,0.01088404
5.600006,-0.1538085,-0.9920045,-0.06115714,0,0,0,0,0,0,0.002639348
5.62001,-0.1818843,-0.9732053,-0.06286559,0,0,0,0,0,0,-0.007563893
5.640015,-0.1818843,-0.9732053,-0.06286559,0,0,0,0,0,0,-0.01365992
5.660004,-0.2155756,-0.9292603,-0.1077878,0,0,0,0,0,0,-0.02939101
