time, xAcc, yAcc, zAcc, xAcc_calib, yAcc_calib, zAcc_calib, xAcc_linear, yAcc_linear, zAcc_linear, accMag
0,-0.1188974,-0.9854134,-0.1649166,0,0,0,0,0,0,-0.004880114
0.02000427,-0.1210944,-0.984192,-0.168335,0,0,0,0,0,0,-0.00445709
0.04000854,-0.1191401,-0.9871219,-0.1929924,0,0,0,0,0,0,-0.001483005
0.05999756,-0.117676,-0.9854134,-0.1881098,0,0,0,0,0,0,-0.000718831
0.08000183,-0.117676,-0.9854134,-0.1881098,0,0,0,0,0,0,-0.000250072
0.1000061,-0.119873,-0.9817507,-0.1810301,0,0,0,0,0,0,-0.001717063
0.1200104,-0.1174317,-0.9849249,-0.1717519,0,0,0,0,0,0,-0.002136185
0.1399994,-0.1184088,-0.9929816,-0.1597897,0,0,0,0,0,0,-7.35E-05
0.1600037,-0.1232914,-0.984192,-0.1697992,0,0,0,0,0,0,-0.001253701
0.1800079,-0.1203616,-0.9849249,-0.1771231,0,0,0,0,0,0,-0.001338329
0.1999969,-0.1203616,-0.9849249,-0.1771231,0,0,0,0,0,0,-0.001376801
0.2200012,-0.1174317,-0.985902,-0.1827386,0,0,0,0,0,0,-0.000774841
0.2400055,-0.1022953,-0.9907846,-0.1658922,0,0,0,0,0,0,-0.000318501
0.2600098,-0.1022953,-0.9907846,-0.1658922,0,0,0,0,0,0,-3.96E-05
0.2799988,-0.1130376,-0.9885876,-0.1746818,0,0,0,0,0,0,0.000309503
0.3000031,-0.1159675,-0.9793094,-0.1741932,0,0,0,0,0,0,-0.002836835
0.3200073,-0.1159675,-0.9793094,-0.1741932,0,0,0,0,0,0,-0.004711869
0.3399963,-0.1225586,-0.9776009,-0.1812744,0,0,0,0,0,0,-0.005659036
0.3600006,-0.1037594,-0.9844363,-0.1854242,0,0,0,0,0,0,-0.004157971
0.3800049,-0.1037594,-0.9844363,-0.1854242,0,0,0,0,0,0,-0.003211094
0.4000092,-0.1101077,-0.9917602,-0.1905511,0,0,0,0,0,0,0.000727637
0.4199982,-0.1062007,-0.9868776,-0.1807858,0,0,0,0,0,0,0.000449369
0.4400024,-0.12378,-0.9829721,-0.1912839,0,0,0,0,0,0,0.000325041
0.4600067,-0.1254884,-0.9900517,-0.1912839,0,0,0,0,0,0,0.002947673
0.4799957,-0.1142575,-0.9920045,-0.1856685,0,0,0,0,0,0,0.00432945
0.5,-0.1142575,-0.9920045,-0.1856685,0,0,0,0,0,0,0.005123594
0.5200043,-0.1027838,-0.984192,-0.1829828,0,0,0,0,0,0,0.001999429
0.5400085,-0.1008295,-0.9937145,-0.186644,0,0,0,0,0,0,0.003810259
0.5599976,-0.1030281,-0.9783322,-0.1929924,0,0,0,0,0,0,-0.000303744
0.5800018,-0.1030281,-0.9783322,-0.1929924,0,0,0,0,0,0,-0.002787789
0.6000061,-0.1101077,-0.9832164,-0.1947008,0,0,0,0,0,0,-0.002042083
0.6200104,-0.1062007,-0.9812621,-0.1898182,0,0,0,0,0,0,-0.002810353
0.6399994,-0.1201173,-0.9839477,-0.1871326,0,0,0,0,0,0,-0.001848918
0.6600037,-0.1213387,-0.9717411,-0.188354,0,0,0,0,0,0,-0.005629578
0.6800079,-0.1213387,-0.9717411,-0.188354,0,0,0,0,0,0,-0.007861516
0.6999969,-0.1152347,-0.9671028,-0.1878655,0,0,0,0,0,0,-0.01116502
0.7200012,-0.1201173,-0.9949344,-0.1915282,0,0,0,0,0,0,-0.002264118
0.7400055,-0.1201173,-0.9949344,-0.1915282,0,0,0,0,0,0,0.003137978
0.7600098,-0.1257327,-0.990296,-0.201782,0,0,0,0,0,0,0.005666404
0.7799988,-0.1149904,-0.9783322,-0.2015377,0,0,0,0,0,0,0.002214886
0.8000031,-0.1069336,-0.9539192,-0.1934809,0,0,0,0,0,0,-0.009876229
0.8200073,-0.1169431,-0.9932259,-0.1959222,0,0,0,0,0,0,-0.001930383
0.8399963,-0.1181645,-1.004213,-0.1981193,0,0,0,0,0,0,0.007173972
0.8600006,-0.1223143,-1.012268,-0.1990964,0,0,0,0,0,0,0.01584681
0.8800049,-0.1342781,-1.025696,-0.2120358,0,0,0,0,0,0,0.02742493
0.9000092,-0.1306154,-0.9966428,-0.215697,0,0,0,0,0,0,0.02355857
0.9199982,-0.1145018,-0.9717411,-0.2025133,0,0,0,0,0,0,0.0100358
0.9400024,-0.1005868,-0.9639287,-0.1925038,0,0,0,0,0,0,-0.002454025
0.9600067,-0.09472705,-0.9754039,-0.1837157,0,0,0,0,0,0,-0.006572869
0.9799957,-0.09106431,-0.9671028,-0.1749261,0,0,0,0,0,0,-0.01282265
1,-0.08569313,-0.9544078,-0.1827386,0,0,0,0,0,0,-0.02084499
1.020004,-0.08471754,-0.9688113,-0.1917725,0,0,0,0,0,0,-0.01952272
1.040009,-0.08740313,-0.9600217,-0.2015377,0,0,0,0,0,0,-0.02097065
1.059998,-0.08740313,-0.9600217,-0.2015377,0,0,0,0,0,0,-0.02164672
1.080002,-0.07885778,-0.9556276,-0.1868883,0,0,0,0,0,0,-0.0248577
1.100006,-0.07885778,-0.9556276,-0.1868883,0,0,0,0,0,0,-0.02656257
1.12001,-0.0988768,-0.9898075,-0.2069089,0,0,0,0,0,0,-0.01248039
1.139999,-0.1015624,-0.9876105,-0.1964108,0,0,0,0,0,0,-0.005355633
1.160004,-0.1071779,-0.9983528,-0.1876212,0,0,0,0,0,0,0.002577053
1.180008,-0.1071779,-0.9983528,-0.1876212,0,0,0,0,0,0,0.007347869
1.199997,-0.1003425,-1.005432,-0.1817614,0,0,0,0,0,0,0.01212926
1.220001,-0.08227623,-0.9900517,-0.2032462,0,0,0,0,0,0,0.01011508
1.240005,-0.08227623,-0.9900517,-0.2032462,0,0,0,0,0,0,0.008801419
1.26001,-0.08227623,-0.9900517,-0.2032462,0,0,0,0,0,0,0.007923665
1.279999,-0.08203195,-0.9890746,-0.2030019,0,0,0,0,0,0,0.006929136
1.300003,-0.0913086,-0.9939572,-0.1912839,0,0,0,0,0,0,0.007511108
1.320007,-0.08691456,-0.9888303,-0.1942138,0,0,0,0,0,0,0.005951412
1.339996,-0.09057574,-0.979798,-0.1951894,0,0,0,0,0,0,0.001792278
1.360001,-0.08227623,-0.9688113,-0.1971421,0,0,0,0,0,0,-0.004943636
1.380005,-0.08154338,-0.970764,-0.1973864,0,0,0,0,0,0,-0.008248407
1.400009,-0.09619121,-1.001038,-0.1988521,0,0,0,0,0,0,0.00166624
1.419998,-0.09033146,-0.9888303,-0.2056875,0,0,0,0,0,0,0.003428462
1.440002,-0.09033146,-0.9888303,-0.2056875,0,0,0,0,0,0,0.004461154
